,Unit,Module,Title,Subheaders,Paragraph,Generated Question,predicted_label
0,Composition of Substances and Solutions,Introduction,Introduction to Composition of Substances and Solutions,,"Swimming pools have long been a popular means of recreation, exercise, and physical            therapy. Since it is impractical to refill large pools with fresh water on a frequent            basis, pool water is regularly treated with chemicals to prevent the growth of harmful            bacteria and algae. Proper pool maintenance requires regular additions of various            chemical compounds in carefully measured amounts. For example, the relative amount of            calcium ion, Ca2+, in the water should be maintained within certain limits to prevent            eye irritation and avoid damage to the pool bed and plumbing. To maintain proper calcium            levels, calcium cations are added to the water in the form of an ionic compound that            also contains anions; thus, it is necessary to know both the relative amount of Ca2+ in            the compound and the volume of water in the pool in order to achieve the proper calcium            level. Quantitative aspects of the composition of substances (such as the            calcium-containing compound) and mixtures (such as the pool water) are the subject of            this unit.",What is the name of the compound that contains anions in the pool?,1
1,Composition of Substances and Solutions,Introduction,Introduction to Composition of Substances and Solutions,,"Swimming pools have long been a popular means of recreation, exercise, and physical            therapy. Since it is impractical to refill large pools with fresh water on a frequent            basis, pool water is regularly treated with chemicals to prevent the growth of harmful            bacteria and algae. Proper pool maintenance requires regular additions of various            chemical compounds in carefully measured amounts. For example, the relative amount of            calcium ion, Ca2+, in the water should be maintained within certain limits to prevent            eye irritation and avoid damage to the pool bed and plumbing. To maintain proper calcium            levels, calcium cations are added to the water in the form of an ionic compound that            also contains anions; thus, it is necessary to know both the relative amount of Ca2+ in            the compound and the volume of water in the pool in order to achieve the proper calcium            level. Quantitative aspects of the composition of substances (such as the            calcium-containing compound) and mixtures (such as the pool water) are the subject of            this unit.",What is an example of an ionic compound that has anions?,1
2,Composition of Substances and Solutions,Introduction,Introduction to Composition of Substances and Solutions,,"Swimming pools have long been a popular means of recreation, exercise, and physical            therapy. Since it is impractical to refill large pools with fresh water on a frequent            basis, pool water is regularly treated with chemicals to prevent the growth of harmful            bacteria and algae. Proper pool maintenance requires regular additions of various            chemical compounds in carefully measured amounts. For example, the relative amount of            calcium ion, Ca2+, in the water should be maintained within certain limits to prevent            eye irritation and avoid damage to the pool bed and plumbing. To maintain proper calcium            levels, calcium cations are added to the water in the form of an ionic compound that            also contains anions; thus, it is necessary to know both the relative amount of Ca2+ in            the compound and the volume of water in the pool in order to achieve the proper calcium            level. Quantitative aspects of the composition of substances (such as the            calcium-containing compound) and mixtures (such as the pool water) are the subject of            this unit.","In addition to water, what is the relative amount of calcium ion in the water?",1
3,Chemical Bonding and Molecular Geometry,Introduction,Introduction to Chemical Bonding and Molecular Geometry,,"It has long been known that pure carbon occurs in different forms (allotropes) including            graphite and diamonds. But it was not until 1985 that a new form of carbon was            recognized: buckminsterfullerene, commonly known as a cbuckyball.d This molecule was            named after the architect and inventor R. Buckminster Fuller (1895), whose            signature architectural design was the geodesic dome, characterized by a lattice shell            structure supporting a spherical surface. Experimental evidence revealed the formula, C            60 , and then scientists determined how 60 carbon atoms could form one symmetric, stable            molecule. They were guided by bonding theorythe topic of this unitwhich explains            how individual atoms connect to form more complex structures.",What is the name of the molecule that was named after the architect and inventor of buckminsterfullerene?,1
4,Chemical Bonding and Molecular Geometry,Introduction,Introduction to Chemical Bonding and Molecular Geometry,,"It has long been known that pure carbon occurs in different forms (allotropes) including            graphite and diamonds. But it was not until 1985 that a new form of carbon was            recognized: buckminsterfullerene, commonly known as a cbuckyball.d This molecule was            named after the architect and inventor R. Buckminster Fuller (1895), whose            signature architectural design was the geodesic dome, characterized by a lattice shell            structure supporting a spherical surface. Experimental evidence revealed the formula, C            60 , and then scientists determined how 60 carbon atoms could form one symmetric, stable            molecule. They were guided by bonding theorythe topic of this unitwhich explains            how individual atoms connect to form more complex structures.",When was a new form of carbon recognized?,1
5,Chemical Bonding and Molecular Geometry,Introduction,Introduction to Chemical Bonding and Molecular Geometry,,"It has long been known that pure carbon occurs in different forms (allotropes) including            graphite and diamonds. But it was not until 1985 that a new form of carbon was            recognized: buckminsterfullerene, commonly known as a cbuckyball.d This molecule was            named after the architect and inventor R. Buckminster Fuller (1895), whose            signature architectural design was the geodesic dome, characterized by a lattice shell            structure supporting a spherical surface. Experimental evidence revealed the formula, C            60 , and then scientists determined how 60 carbon atoms could form one symmetric, stable            molecule. They were guided by bonding theorythe topic of this unitwhich explains            how individual atoms connect to form more complex structures.",What is a lattice shell structure that supports a spherical surface?,1
6,Chemical Bonding and Molecular Geometry,Introduction,Introduction to Chemical Bonding and Molecular Geometry,,Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.,Adapted from Openstax Chemistry under what Creative Commons Attribution 4.0 License?,0
7,Chemical Bonding and Molecular Geometry,Introduction,Introduction to Chemical Bonding and Molecular Geometry,,Download for free at .,What is a free download at.pdf?,0
8,Electronic Structure and Periodic Properties,Introduction,Electronic Structure and Periodic Properties Introduction,,"            The Crab Nebula consists of remnants of a supernova (the explosion of a                star). NASAs Hubble Space Telescope produced this composite image. Measurements                of the emitted light wavelengths enabled astronomers to identify the elements in                the nebula, determining that it contains specific ions including S+ (green                filaments) and O2+ (red filaments). (credit: modification of work by NASA and                ESA)",The Crab Nebula consists of remnants of what?,1
9,Electronic Structure and Periodic Properties,Introduction,Electronic Structure and Periodic Properties Introduction,,"            The Crab Nebula consists of remnants of a supernova (the explosion of a                star). NASAs Hubble Space Telescope produced this composite image. Measurements                of the emitted light wavelengths enabled astronomers to identify the elements in                the nebula, determining that it contains specific ions including S+ (green                filaments) and O2+ (red filaments). (credit: modification of work by NASA and                ESA)",What is the name of the supernova?,1
